,id,album,track_number,name
0,5xrtzzzikpG3BLbo4q1Yul,IU 5th Album 'LILAC',1,LILAC
1,2j0MsDAMJ2ahsxP3z86ChI,IU 5th Album 'LILAC',2,Flu
2,7CZRguMolNqIobnXxpV735,IU 5th Album 'LILAC',3,Coin
3,2M7a2Us8CEU1HZHj70byGX,IU 5th Album 'LILAC',4,Hi spring Bye
4,5nCwjUUsmBuNZKn9Xu10Os,IU 5th Album 'LILAC',5,Celebrity
5,64P4md3mdMM8Dog2aThmzj,IU 5th Album 'LILAC',6,Troll (Feat. DEAN)
6,4YnVz2QRU6OnoJ8lt23QHM,IU 5th Album 'LILAC',7,Empty Cup
7,46wDG6evLn2iPoQ0F8CUWk,IU 5th Album 'LILAC',8,My sea
8,1IJxbEXfgiKuRx6oXMX87e,IU 5th Album 'LILAC',9,Ah puh
9,6rcwrRWKyjaFyUL8b8GlIJ,IU 5th Album 'LILAC',10,Epilogue
10,4NPARrLIbtMl29ZJv8ESr2,Palette,1,dlwlrma
11,3y7ByLZ05tluscOTRgEJ9Y,Palette,2,Palette (feat. G-DRAGON)
12,06EMBzxDm2hueehobAlMtm,Palette,3,Ending Scene
13,5MvxeZPiiLAuB5gI8k3ynk,Palette,4,Can't Love You Anymore (With OHHYUK)
14,3h7WIL3B6nP3171zl6HWj8,Palette,5,Jam Jam
15,1sUOFqmIU38dQCA13aVKBL,Palette,6,Black Out
16,2HlvvNgav045pxmrG0mk11,Palette,7,Full Stop
17,3P3UA61WRQqwCXaoFOTENd,Palette,8,Through the Night
18,3dDJ4DlBQ0VaRYjLZhLDTa,Palette,9,Love Alone
19,1DP0uwV6tMlCEfR61Mh7ki,Palette,10,Dear Name
20,0GsRx0gPft6RmijIwMsKmG,Modern Times – Epilogue,1,Friday (feat.Jang Yi-jeong)
21,2Tw2V8Ps4GuzZfcSwJufQ8,Modern Times – Epilogue,2,Crayon
23,3TptUUofhpj36m67TF1oPV,Modern Times – Epilogue,4,Everybody has secrets (feat. GAIN)
29,2IX0gGA7fwWcjfn2IKS4Nt,Modern Times – Epilogue,10,"Walk with me, girl (feat. Choi Baek-ho)"
33,13gJpKdOhieATKK3EaNDdz,Modern Times – Epilogue,14,Wait
35,7b3p9nGAWa2fByucNemToA,Modern Times,1,Love of B
37,5K8D8VKWxLlS9irhfGlIEi,Modern Times,3,Between the lips (50cm)
