,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,아이유,IU 5th Album 'LILAC',1,5xrtzzzikpG3BLbo4q1Yul,LILAC,spotify:track:5xrtzzzikpG3BLbo4q1Yul,0.0895,0.738,0.89,1.89e-06,0.213,-2.275,0.0748,114.942,0.75,72
1,아이유,IU 5th Album 'LILAC',2,2j0MsDAMJ2ahsxP3z86ChI,Flu,spotify:track:2j0MsDAMJ2ahsxP3z86ChI,0.0981,0.842,0.647,0.0,0.144,-4.753,0.115,92.025,0.578,53
2,아이유,IU 5th Album 'LILAC',3,7CZRguMolNqIobnXxpV735,Coin,spotify:track:7CZRguMolNqIobnXxpV735,0.00849,0.725,0.879,1.25e-06,0.316,-3.351,0.101,118.092,0.71,55
3,아이유,IU 5th Album 'LILAC',4,2M7a2Us8CEU1HZHj70byGX,Hi spring Bye,spotify:track:2M7a2Us8CEU1HZHj70byGX,0.771,0.501,0.51,3.15e-06,0.0756,-5.996,0.0268,91.908,0.189,50
4,아이유,IU 5th Album 'LILAC',5,5nCwjUUsmBuNZKn9Xu10Os,Celebrity,spotify:track:5nCwjUUsmBuNZKn9Xu10Os,0.191,0.73,0.784,0.0,0.0956,-2.62,0.0691,99.995,0.673,66
5,아이유,IU 5th Album 'LILAC',6,64P4md3mdMM8Dog2aThmzj,Troll (Feat. DEAN),spotify:track:64P4md3mdMM8Dog2aThmzj,0.394,0.695,0.677,0.0,0.274,-4.186,0.212,80.956,0.663,54
6,아이유,IU 5th Album 'LILAC',7,4YnVz2QRU6OnoJ8lt23QHM,Empty Cup,spotify:track:4YnVz2QRU6OnoJ8lt23QHM,0.431,0.755,0.493,0.0,0.112,-5.078,0.0334,104.939,0.417,50
7,아이유,IU 5th Album 'LILAC',8,46wDG6evLn2iPoQ0F8CUWk,My sea,spotify:track:46wDG6evLn2iPoQ0F8CUWk,0.365,0.353,0.419,0.0,0.35,-6.26,0.0341,134.334,0.122,58
8,아이유,IU 5th Album 'LILAC',9,1IJxbEXfgiKuRx6oXMX87e,Ah puh,spotify:track:1IJxbEXfgiKuRx6oXMX87e,0.0861,0.954,0.732,4.05e-06,0.0724,-3.618,0.0445,120.985,0.842,56
9,아이유,IU 5th Album 'LILAC',10,6rcwrRWKyjaFyUL8b8GlIJ,Epilogue,spotify:track:6rcwrRWKyjaFyUL8b8GlIJ,0.74,0.366,0.47,0.0,0.0896,-5.51,0.0322,179.609,0.368,51
10,아이유,Palette,1,4NPARrLIbtMl29ZJv8ESr2,dlwlrma,spotify:track:4NPARrLIbtMl29ZJv8ESr2,0.315,0.738,0.641,0.0,0.114,-3.44,0.0475,119.867,0.631,55
11,아이유,Palette,2,3y7ByLZ05tluscOTRgEJ9Y,Palette (feat. G-DRAGON),spotify:track:3y7ByLZ05tluscOTRgEJ9Y,0.458,0.804,0.68,0.0,0.102,-3.81,0.2,102.013,0.62,63
12,아이유,Palette,3,06EMBzxDm2hueehobAlMtm,Ending Scene,spotify:track:06EMBzxDm2hueehobAlMtm,0.851,0.388,0.323,2.03e-06,0.143,-7.158,0.0348,118.885,0.232,61
13,아이유,Palette,4,5MvxeZPiiLAuB5gI8k3ynk,Can't Love You Anymore (With OHHYUK),spotify:track:5MvxeZPiiLAuB5gI8k3ynk,0.566,0.611,0.63,0.0,0.237,-4.419,0.363,65.619,0.66,53
14,아이유,Palette,5,3h7WIL3B6nP3171zl6HWj8,Jam Jam,spotify:track:3h7WIL3B6nP3171zl6HWj8,0.121,0.733,0.697,3.72e-06,0.218,-4.622,0.0544,116.019,0.388,53
15,아이유,Palette,6,1sUOFqmIU38dQCA13aVKBL,Black Out,spotify:track:1sUOFqmIU38dQCA13aVKBL,0.166,0.684,0.801,2.37e-06,0.0243,-4.063,0.0651,98.042,0.778,44
16,아이유,Palette,7,2HlvvNgav045pxmrG0mk11,Full Stop,spotify:track:2HlvvNgav045pxmrG0mk11,0.906,0.401,0.211,0.0,0.0863,-10.424,0.0345,122.262,0.203,45
17,아이유,Palette,8,3P3UA61WRQqwCXaoFOTENd,Through the Night,spotify:track:3P3UA61WRQqwCXaoFOTENd,0.757,0.428,0.313,0.0,0.309,-7.327,0.0391,78.723,0.284,62
18,아이유,Palette,9,3dDJ4DlBQ0VaRYjLZhLDTa,Love Alone,spotify:track:3dDJ4DlBQ0VaRYjLZhLDTa,0.914,0.496,0.2,0.0,0.2,-11.532,0.0496,130.104,0.135,46
19,아이유,Palette,10,1DP0uwV6tMlCEfR61Mh7ki,Dear Name,spotify:track:1DP0uwV6tMlCEfR61Mh7ki,0.459,0.312,0.589,0.0,0.106,-5.071,0.0334,133.854,0.237,54
20,아이유,Modern Times – Epilogue,1,0GsRx0gPft6RmijIwMsKmG,Friday (feat.Jang Yi-jeong),spotify:track:0GsRx0gPft6RmijIwMsKmG,0.619,0.681,0.525,0.0,0.103,-4.823,0.0512,80.052,0.551,56
21,아이유,Modern Times – Epilogue,2,2Tw2V8Ps4GuzZfcSwJufQ8,Crayon,spotify:track:2Tw2V8Ps4GuzZfcSwJufQ8,0.241,0.643,0.765,0.0,0.65,-3.93,0.134,90.019,0.721,33
23,아이유,Modern Times – Epilogue,4,3TptUUofhpj36m67TF1oPV,Everybody has secrets (feat. GAIN),spotify:track:3TptUUofhpj36m67TF1oPV,0.281,0.679,0.717,4.09e-05,0.0611,-4.927,0.0359,95.997,0.64,30
29,아이유,Modern Times – Epilogue,10,2IX0gGA7fwWcjfn2IKS4Nt,"Walk with me, girl (feat. Choi Baek-ho)",spotify:track:2IX0gGA7fwWcjfn2IKS4Nt,0.714,0.664,0.514,0.000533,0.132,-7.382,0.0336,116.008,0.386,27
33,아이유,Modern Times – Epilogue,14,13gJpKdOhieATKK3EaNDdz,Wait,spotify:track:13gJpKdOhieATKK3EaNDdz,0.102,0.824,0.918,0.0317,0.0556,-6.903,0.0466,134.972,0.947,26
35,아이유,Modern Times,1,7b3p9nGAWa2fByucNemToA,Love of B,spotify:track:7b3p9nGAWa2fByucNemToA,0.707,0.855,0.481,5.05e-06,0.109,-3.33,0.0479,99.246,0.701,39
37,아이유,Modern Times,3,5K8D8VKWxLlS9irhfGlIEi,Between the lips (50cm),spotify:track:5K8D8VKWxLlS9irhfGlIEi,0.457,0.688,0.399,0.0,0.226,-6.18,0.0307,95.884,0.514,41
38,아이유,Modern Times,4,3atsk5EWI5fNxLMIJnfYfJ,The Red Shoes,spotify:track:3atsk5EWI5fNxLMIJnfYfJ,0.512,0.636,0.922,0.0,0.0898,-2.131,0.211,118.065,0.371,44
39,아이유,Modern Times,5,38Dwg8OrUClCZl2wzUKrmi,Modern Times,spotify:track:38Dwg8OrUClCZl2wzUKrmi,0.631,0.489,0.805,0.0,0.186,-3.325,0.0857,199.923,0.696,41
40,아이유,Modern Times,6,0EqSyrpWl672SesSbx598X,Bad Day,spotify:track:0EqSyrpWl672SesSbx598X,0.8,0.45,0.373,0.0,0.0896,-7.96,0.031,131.735,0.246,40
41,아이유,Modern Times,7,2RENeWPEosqVewFaHSNnjT,Obliviate,spotify:track:2RENeWPEosqVewFaHSNnjT,0.674,0.486,0.631,0.0,0.202,-4.181,0.0322,173.738,0.552,40
43,아이유,Modern Times,9,5tW1WVLeSj61qexZmyb1il,Havana,spotify:track:5tW1WVLeSj61qexZmyb1il,0.71,0.539,0.634,0.0,0.0983,-5.964,0.0353,114.543,0.525,39
44,아이유,Modern Times,10,5mqINYGiOhoHXdc5nCeR4d,A Gloomy Clock (feat. Jong-hyun),spotify:track:5mqINYGiOhoHXdc5nCeR4d,0.392,0.867,0.227,0.0,0.106,-8.183,0.0534,118.067,0.51,43
45,아이유,Modern Times,11,5TjV9Mx486FBvFW9n4IR2m,Daydream (feat. Yang Hee-eun),spotify:track:5TjV9Mx486FBvFW9n4IR2m,0.841,0.341,0.278,0.0,0.155,-8.606,0.0339,199.556,0.288,38
47,아이유,Modern Times,13,0MMUVb6JJzOtMyTx9qrAjy,(Bonus Track) Voice Mail (Korean Version),spotify:track:0MMUVb6JJzOtMyTx9qrAjy,0.88,0.448,0.355,0.0,0.0996,-7.665,0.0314,119.859,0.221,40
48,아이유,Last Fantasy,1,38HJ2NhRdr68S1UAi9r3vc,Secret,spotify:track:38HJ2NhRdr68S1UAi9r3vc,0.601,0.417,0.731,0.0,0.0861,-3.562,0.046,154.11,0.207,33
